workout_days,sleep_hours,steps_per_day,bmi,age,resting_hr,fitness_level
0,9.6,1085,30.1,52,89,Low
5,6.5,9043,24.6,44,83,High
0,9.0,4355,22.0,19,67,High
3,9.0,1332,28.0,58,81,Medium
7,6.7,16384,20.9,33,87,High
3,6.7,5464,16.8,50,74,High
3,7.2,15506,27.7,41,57,High
3,7.6,11225,25.9,55,60,High
3,4.9,2049,25.6,17,63,Medium
3,7.1,19884,31.3,17,76,High
2,6.9,5456,19.1,45,50,High
5,9.6,18260,20.5,29,59,High
2,9.4,15246,17.8,27,89,High
4,8.5,4414,23.3,54,75,High
4,5.8,12752,31.1,45,85,High
5,5.6,11025,26.8,36,66,High
1,9.7,14169,18.2,17,85,High
2,5.5,2358,17.2,50,64,Medium
6,8.5,6990,20.3,36,77,High
3,7.8,2356,26.7,22,85,High
5,4.2,10989,33.4,48,72,High
4,5.8,6700,34.9,44,53,High
3,6.8,13098,27.2,28,81,High
5,9.2,18302,34.0,36,59,High
0,8.7,4040,30.0,15,67,Medium
3,9.1,3369,31.6,36,74,High
2,7.8,7438,17.4,22,90,High
5,7.2,6115,26.9,20,68,High
1,5.1,12889,29.9,18,82,High
4,7.4,9227,28.5,15,52,High
3,7.1,2458,24.3,60,72,Medium
4,6.7,11812,17.1,23,75,High
6,7.1,11972,19.8,21,51,High
0,8.5,10779,25.0,24,75,High
2,6.1,14059,25.4,40,82,High
5,9.6,10463,17.3,17,73,High
2,4.5,16684,25.8,55,87,High
7,5.3,7553,32.0,35,55,High
1,7.2,19740,29.4,49,69,High
4,7.6,13527,26.9,34,86,High
1,6.2,17015,17.9,20,53,High
4,6.5,5844,28.5,21,52,High
4,6.5,15480,23.3,58,83,High
1,10.0,17864,19.7,45,79,High
2,8.4,16673,17.4,48,50,High
5,9.7,4646,17.8,57,75,High
6,4.8,6806,16.0,45,57,High
1,7.7,12700,34.8,37,53,High
5,7.7,3347,30.4,56,51,High
7,5.9,1128,25.6,16,63,High
3,4.8,1622,23.9,42,65,Medium
2,6.9,15365,23.0,36,84,High
0,9.8,11879,33.4,20,89,High
4,5.7,11350,22.1,15,66,High
7,5.0,7882,34.8,26,64,High
4,8.9,1982,22.9,54,89,High
4,7.3,9228,32.7,45,52,High
6,8.3,5428,17.0,33,84,High
0,9.2,7773,31.3,29,58,High
4,7.4,12862,28.5,34,66,High
3,6.8,11365,29.5,19,70,High
2,5.6,8304,30.6,43,75,Medium
2,5.9,6171,22.4,16,52,High
0,8.3,4369,25.3,25,61,High
7,9.0,4260,22.1,47,74,High
7,7.3,17542,34.3,43,67,High
0,6.1,5698,24.1,16,51,High
1,4.2,14336,24.0,37,90,High
1,8.7,8132,25.3,54,89,High
6,6.6,8875,31.1,19,55,High
0,9.4,5240,33.9,29,65,Medium
6,7.1,4523,21.2,45,85,High
2,5.7,18445,29.5,41,65,High
1,4.8,15283,34.1,54,58,High
7,9.6,5867,25.7,53,67,High
5,4.2,2951,22.5,32,77,High
2,9.0,6765,16.8,24,84,High
1,7.7,17418,31.4,44,84,High
1,9.6,7431,22.4,53,51,High
0,5.3,8946,17.7,45,64,Medium
4,5.7,7134,19.2,42,62,High
7,4.5,19170,33.2,20,58,High
4,5.3,10280,25.5,28,69,High
1,5.2,16967,31.6,37,83,High
3,9.9,7783,28.3,38,80,High
2,4.8,12357,20.1,16,57,High
5,9.1,19321,16.6,16,55,High
1,6.6,8092,32.7,36,70,Medium
4,7.9,11422,32.2,52,79,High
3,5.7,3691,24.2,46,68,Medium
4,5.2,17819,26.4,29,75,High
7,5.0,3501,29.7,20,71,High
5,6.7,17980,31.7,16,85,High
6,6.3,7712,23.4,43,80,High
2,5.8,1104,20.4,30,72,Medium
0,6.4,5027,32.3,32,63,Medium
5,5.9,10993,16.8,38,87,High
4,5.9,12962,27.0,36,55,High
6,5.6,4379,30.1,43,81,High
3,4.7,5514,21.7,45,89,Medium
5,8.8,4432,25.5,38,87,High
1,7.7,7283,27.9,39,67,High
2,6.9,12206,21.2,51,54,High
5,7.4,7690,29.1,24,53,High
2,6.4,7957,17.8,35,69,High
7,8.0,2352,26.6,38,87,High
2,4.9,15399,26.5,30,62,High
4,4.2,17956,26.7,28,84,High
5,6.0,18925,19.5,30,87,High
2,7.6,2737,17.0,50,57,Medium
1,6.0,1369,23.3,48,75,Low
5,7.1,10327,22.2,17,90,High
0,5.4,4378,24.6,25,62,Medium
7,7.8,13443,30.4,21,60,High
0,5.4,17489,30.3,27,85,High
1,6.6,17812,25.2,25,64,High
3,6.6,17722,21.7,46,52,High
0,5.6,15106,29.1,32,61,High
1,9.0,12066,29.1,33,65,High
7,5.9,3135,17.0,58,79,High
4,7.5,2004,32.3,22,85,Medium
1,7.2,6631,17.4,15,81,High
0,8.5,9387,24.4,59,70,High
3,7.6,15004,20.5,24,69,High
5,7.8,11941,33.6,51,56,High
